Cell Name;Region Name;Person Name;Activity;Start Time;End Time
C9;Folding;Cut-1;Stand;14:38:18;14:38:39
C9;Folding;Cut-1;Sorting;14:39:03;14:39:21
A15;Tempo_storage;Cut-1;Lifting;14:39:44;14:41:04
B13;Cutting;Cut-1;Sorting;14:40:07;14:41:27
D10;Folding;Cut-1;Sorting;14:40:11;14:40:28
D7;Folding;Cut-1;Lifting;14:40:14;14:40:19
D15;Tempo_storage;Cut-1;Lifting;14:40:24;14:41:45
D15;Tempo_storage;Cut-1;Sorting;14:40:47;14:42:14
D10;Folding;Cut-1;Lifting;14:41:08;14:41:30
C11;Cutting;Cut-1;Sorting;14:41:14;14:42:05
E9;Die_Cutting;Cut-1;Die-Feeding;14:41:42;14:42:27
D10;Folding;Cut-1;Stand;14:42:36;14:43:58
D15;Tempo_storage;Cut-1;Lifting;14:42:50;14:43:11
B11;Cutting;Cut-1;Sorting;14:43:14;14:43:22
C9;Folding;Cut-1;Stand;14:43:25;14:44:17
B11;Cutting;Cut-1;Walk;14:43:46;14:44:56
B13;Cutting;Cut-1;Sorting;14:44:26;14:45:39
B13;Cutting;Cut-1;Walk;14:44:43;14:45:38
B14;Tempo_storage;Cut-1;Sorting;14:44:46;14:45:44
D15;Tempo_storage;Cut-1;Lifting;14:44:55;14:45:56
E9;Die_Cutting;Cut-1;Die-Feeding;14:45:00;14:45:45
B12;Cutting;Cut-1;Cutting;14:46:07;14:47:14
D10;Folding;Cut-1;Walk;14:46:47;14:47:44
B12;Cutting;Cut-1;Stand;14:46:51;14:47:18
E8;Die_Cutting;Cut-1;Walk;14:47:08;14:48:01
C9;Folding;Cut-1;Sorting;14:47:22;14:48:24
E11;Die_Cutting;Cut-1;Stand;14:47:33;14:48:37
C9;Folding;Cut-1;Sorting;14:49:10;14:49:25
E10;Die_Cutting;Cut-1;Lifting;14:49:18;14:49:55
D14;Tempo_storage;Cut-1;Sorting;14:49:35;14:50:33
B12;Cutting;Cut-1;Sorting;14:49:38;14:50:49
E10;Die_Cutting;Cut-1;Walk;14:49:50;14:50:59
C9;Folding;Cut-1;Cutting;14:50:03;14:50:56
C9;Folding;Cut-1;Walk;14:50:16;14:50:27
B13;Cutting;Cut-1;Walk;14:50:26;14:51:55
D10;Folding;Cut-1;Lifting;14:50:47;14:51:36
B16;Tempo_storage;Cut-1;Lifting;14:51:46;14:52:32
C9;Folding;Cut-1;Sorting;14:52:56;14:53:27
A14;Tempo_storage;Cut-1;Lifting;14:53:27;14:54:17
E12;Die_Cutting;Cut-1;Die-Feeding;14:53:28;14:54:09
E9;Die_Cutting;Cut-1;Lifting;14:53:52;14:54:35
D15;Tempo_storage;Cut-1;Stand;14:53:55;14:54:58
E8;Die_Cutting;Cut-1;Sorting;14:55:11;14:56:17
E9;Die_Cutting;Cut-1;Die-Feeding;14:55:27;14:56:06
B13;Cutting;Cut-1;Stand;14:56:20;14:56:51
E11;Die_Cutting;Cut-1;Sorting;14:56:25;14:57:53
F8;Die_Cutting;Cut-1;Die-Feeding;14:56:57;14:57:49
B13;Cutting;Cut-1;Cutting;14:57:11;14:58:29
F8;Die_Cutting;Cut-1;Stand;14:57:11;14:58:20
B13;Cutting;Cut-1;Lifting;14:58:03;14:58:11
D10;Folding;Cut-1;Lifting;14:58:07;14:58:29
B13;Cutting;Die-1;Cutting;14:55:16;14:56:39
B10;Cutting;Die-1;Cutting;14:38:13;14:39:02
D15;Tempo_storage;Die-1;Sorting;14:38:19;14:39:33
D14;Tempo_storage;Die-1;Sorting;14:39:58;14:40:17
A14;Tempo_storage;Die-1;Stand;14:39:58;14:40:10
D12;Cutting;Die-1;Walk;14:40:06;14:40:23
B16;Tempo_storage;Die-1;Walk;14:40:07;14:41:00
B13;Cutting;Die-1;Cutting;14:41:40;14:43:10
E8;Die_Cutting;Die-1;Lifting;14:41:43;14:43:00
B13;Cutting;Die-1;Walk;14:41:56;14:42:20
E12;Die_Cutting;Die-1;Walk;14:42:51;14:44:00
F9;Die_Cutting;Die-1;Die-Feeding;14:43:08;14:44:15
B11;Cutting;Die-1;Sorting;14:43:39;14:44:34
C14;Tempo_storage;Die-1;Lifting;14:45:35;14:46:34
