Cell Name;Region Name;Person Name;Activity;Start Time;End Time
A8;LAYERING_Receiving;LAY-1;Rolling-Receiver;10:45:25;10:49:29
B6;LAYERING_Receiving;LAY-2;Rolling-Receiver;10:45:24;10:49:20
B10;LAYERING_TempoStore;LAY-3;Sit;10:45:18;10:47:22
B9;LAYERING_Receiving;LAY-3;Stand;10:47:26;10:50:01
B9;LAYERING_Receiving;LAY-4;Sit;10:45:18;10:49:16
B9;LAYERING_Receiving;LAY-4;Stand;10:49:21;10:50:01
C12;LAYERING_Feeding;LAY-5;Rolling-Feeder;10:45:18;10:49:05
C12;LAYERING_Feeding;LAY-5;Walk;10:49:08;10:50:01
E13;LAYERING_Feeding;LAY-6;Layering-Operator;10:45:21;10:50:01
F6;LAYERING_Feeding;LAY-7;Layering-Operator;10:45:18;10:50:01
B6;LAYERING_Receiving;LAY-1;Lifting;10:50:12;10:51:26
A6;LAYERING_Receiving;LAY-1;Walk;10:51:26;10:51:42
A8;LAYERING_Receiving;LAY-1;Lifting;10:51:43;10:51:57
A6;LAYERING_Receiving;LAY-1;Walk;10:52:00;10:52:16
A9;LAYERING_Receiving;LAY-1;Lifting;10:52:16;10:52:34
A7;LAYERING_Receiving;LAY-1;Walk;10:52:39;10:52:53
B10;LAYERING_TempoStore;LAY-1;Lifting;10:52:53;10:53:13
A6;LAYERING_Receiving;LAY-1;Walk;10:53:17;10:53:29
B9;LAYERING_Receiving;LAY-1;Lifting;10:53:31;10:53:49
A7;LAYERING_Receiving;LAY-1;Walk;10:53:50;10:54:16
A8;LAYERING_Receiving;LAY-1;Sit;10:54:17;10:54:34
A8;LAYERING_Receiving;LAY-1;Walk;10:54:41;10:54:49
B6;LAYERING_Receiving;LAY-1;Lifting;10:54:49;10:55:07
B11;LAYERING_TempoStore;LAY-1;Lifting;10:55:10;10:55:38
A9;LAYERING_Receiving;LAY-1;Sit;10:55:41;10:57:26
A6;LAYERING_Receiving;LAY-2;Walk;10:50:12;10:50:51
A7;LAYERING_Receiving;LAY-2;Lifting;10:50:54;10:51:13
A8;LAYERING_Receiving;LAY-2;Walk;10:51:17;10:51:23
B7;LAYERING_Receiving;LAY-2;Lifting;10:51:24;10:51:38
A6;LAYERING_Receiving;LAY-2;Walk;10:51:42;10:51:50
B6;LAYERING_Receiving;LAY-2;Lifting;10:51:50;10:52:10
A7;LAYERING_Receiving;LAY-2;Walk;10:52:11;10:52:24
B7;LAYERING_Receiving;LAY-2;Lifting;10:52:27;10:52:52
A7;LAYERING_Receiving;LAY-2;Walk;10:52:55;10:53:04
